Title,Year,Rating,IMG_URL
The Other Woman,2014,6.0,https://static.movie.ge/movies/bg/normal/vWiwrW8OArlBcdEK4RzhPCIYi4r.jpg
The Closet,2001,7.0,https://static.movie.ge/movies/bg/normal/4KjQqPiucOTOmK0GXCMGzNqNiiX.jpg
Redeeming Love,2022,6.6,https://static.movie.ge/movies/bg/normal/t65Ug6pcWJCQVbU1J1dJnIHmW5P.jpg
Superhost,2021,5.6,https://static.movie.ge/movies/bg/normal/kYS5oHeMjmgwHZQ1voxMbsqXpqd.jpg
A Mouthful of Air,2021,5.9,https://static.movie.ge/movies/bg/normal/xhFrqJMTR7ca3MP59ANyygn5Jr3.jpg
Through My Window,2022,5.4,https://static.movie.ge/movies/bg/normal/4rsomWxlqnHt3muGYK06auhOib6.jpg
Ghostbusters: Afterlife,2021,7.2,https://static.movie.ge/movies/bg/normal/f9lJ282mUg3Sfsd1CQMzdJ7crVh.jpg
Spinning Man,2018,5.6,https://static.movie.ge/movies/bg/normal/pZets03njJdLEI5TPHQuRKDLa6b.jpg
Parental Guidance,2012,6.0,https://static.movie.ge/movies/bg/normal/6MVi1xNKVDl5ceLMfcEZ9s1KVOr.jpg
Copycat,1995,6.6,https://static.movie.ge/movies/bg/normal/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg
One Fine Day,1996,6.5,https://static.movie.ge/movies/bg/normal/zTSHM51BLAdzEJXVJvUFhEmLIui.jpg
Munich: The Edge of War,2022,6.8,https://static.movie.ge/movies/bg/normal/Ac2neP9SZtetX7sAHvl3MHfWnWC.jpg
Silver Skates,2020,7.1,https://static.movie.ge/movies/bg/normal/tGS4yIn4BxuVdj0y8MCmflxH9oC.jpg
Prisoners,2013,8.1,https://static.movie.ge/movies/bg/normal/cLGKawjQ5tUJCuDyR0OnGYT4fyf.jpg
No Time to Die,2021,7.3,https://static.movie.ge/movies/bg/normal/ZQ9sPL6C39GGiduu7I2v5UVcu4tg9i1XvxvOdMjj.jpg
Hotel Transylvania: Transformania,2021,6.0,https://static.movie.ge/movies/bg/normal/D9hBwDXcB0AJ0XTqYvmM5mjkry0vgbPZH85YPJDc.jpg
Bloody Hell,2021,6.5,https://static.movie.ge/movies/bg/normal/vvjN8Og0aqr90BT0Nx8eE9pfOMg.jpg
The Deep House,2021,5.4,https://static.movie.ge/movies/bg/normal/yL9RRZbDVbptqLwiZcK304ck4PL.jpg
Venom: Let There Be Carnage,2021,6.0,https://static.movie.ge/movies/bg/normal/LjLaTMwtdQFa0HoTeZIQbissqQiDPRnQnllGHzwO.jpg
The Tender Bar,2021,6.7,https://static.movie.ge/movies/bg/normal/aj02AhFaRsAqtFtjbythaIwGvx4.jpg
Last Looks,2021,5.6,https://static.movie.ge/movies/bg/normal/jiFHFWIafrxJ5FGrvyOS0ISgRws.jpg
Finding You,2021,6.3,https://static.movie.ge/movies/bg/normal/43Ga71pmWeIkb0vMFvvgRCf5PPN.jpg
American Siege,2022,3.4,https://static.movie.ge/movies/bg/normal/yo0TibseCrwVHDu8AnZ65a0w1Um.jpg
The Power of the Dog,2021,6.9,https://static.movie.ge/movies/bg/normal/gAsHuCQMN7mv4uFIvM4ACQ09hPr.jpg
Help,2021,7.7,https://static.movie.ge/movies/bg/normal/lX0u1Qa0bcTgxZbypTHu78FE0Pc.jpg
Canapa Nostra,2019,1.1,https://static.movie.ge/movies/bg/normal/e84o69IahtL8bxqJv6WCKvqL3Ac.jpg
Speciesism: The Movie,2013,8.1,https://static.movie.ge/movies/bg/normal/ob0rtzWEJgHw72Dt8GnWEtcmWgp0akBWsu3Uv5Aa.jpg
On the 12th Date of Christmas,2020,7.2,https://static.movie.ge/movies/bg/normal/oKqFPM54ZalHtom1xwpmAPLjXGD.jpg
